,PubChem CID
1,119
2,137
3,143
4,175
5,187
6,206
7,222
8,244
9,247
10,271
11,297
12,311
13,312
14,338
15,444
16,564
17,598
18,612
19,679
20,681
21,700
22,727
23,750
24,753
25,767
26,772
27,774
28,785
29,813
30,888
31,896
32,923
33,937
34,942
35,946
36,948
37,961
38,1003
39,1046
40,1054
41,1084
42,1125
43,1130
44,1727
45,1775
46,1978
47,1983
48,1986
49,1990
50,1993
51,2019
52,2022
53,2082
54,2083
55,2088
56,2092
57,2094
58,2099
59,2118
60,2123
61,2130
62,2140
63,2141
64,2145
65,2148
66,2153
67,2156
68,2159
69,2160
70,2161
71,2162
72,2163
73,2170
74,2179
75,2182
76,2187
77,2216
78,2244
79,2249
80,2265
81,2266
82,2267
83,2284
84,2315
85,2337
86,2341
87,2345
88,2349
89,2351
90,2366
91,2369
92,2370
93,2375
94,2391
95,2405
96,2431
97,2435
98,2441
99,2442
100,2462
101,2471
102,2474
103,2477
104,2478
105,2479
106,2484
107,2519
108,2520
109,2540
110,2541
111,2551
112,2554
113,2564
114,2576
115,2578
116,2583
117,2585
118,2610
119,2617
120,2662
121,2663
122,2678
123,2708
124,2712
125,2719
126,2720
127,2725
128,2726
129,2727
130,2732
131,2733
132,2749
133,2754
134,2756
135,2762
136,2764
137,2767
138,2771
139,2789
140,2794
141,2801
142,2802
143,2803
144,2809
145,2812
146,2818
147,2881
148,2895
149,2905
150,2907
151,2913
152,2955
153,2972
154,2973
155,2995
156,3007
157,3009
158,3016
159,3019
160,3032
161,3038
162,3042
163,3043
164,3053
165,3059
166,3080
167,3100
168,3105
169,3108
170,3114
171,3117
172,3121
173,3151
174,3152
175,3154
176,3156
177,3157
178,3158
179,3168
180,3182
181,3198
182,3202
183,3219
184,3226
185,3241
186,3261
187,3278
188,3279
189,3291
190,3292
191,3305
192,3308
193,3324
194,3331
195,3333
196,3339
197,3340
198,3342
199,3345
200,3348
201,3354
202,3355
203,3364
204,3365
205,3366
206,3372
207,3373
208,3380
209,3385
210,3386
211,3388
212,3393
213,3394
214,3397
215,3406
216,3410
217,3414
218,3440
219,3446
220,3454
221,3463
222,3467
223,3475
224,3476
225,3478
226,3488
227,3494
228,3510
229,3516
230,3517
231,3519
232,3520
233,3559
234,3598
235,3623
236,3637
237,3639
238,3647
239,3652
240,3657
241,3658
242,3661
243,3672
244,3675
245,3676
246,3690
247,3696
248,3702
249,3715
250,3724
251,3730
252,3736
253,3737
254,3738
255,3739
256,3741
257,3742
258,3743
259,3746
260,3749
261,3759
262,3763
263,3767
264,3779
265,3783
266,3784
267,3821
268,3825
269,3826
270,3827
271,3830
272,3848
273,3869
274,3878
275,3883
276,3899
277,3902
278,3939
279,3948
280,3950
281,3954
282,3957
283,3958
284,3961
285,3964
286,3998
287,4004
288,4011
289,4030
290,4031
291,4032
292,4033
293,4034
294,4036
295,4044
296,4051
297,4054
298,4057
299,4058
300,4060
301,4062
302,4064
303,4075
304,4086
305,4091
306,4095
307,4100
308,4101
309,4107
310,4114
311,4120
312,4121
313,4139
314,4158
315,4168
316,4170
317,4171
318,4173
319,4174
320,4178
321,4184
322,4189
323,4192
324,4195
325,4197
326,4201
327,4205
328,4211
329,4212
330,4235
331,4236
332,4253
333,4274
334,4409
335,4421
336,4436
337,4440
338,4449
339,4450
340,4454
341,4456
342,4463
343,4473
344,4485
345,4493
346,4497
347,4499
348,4506
349,4510
350,4539
351,4543
352,4583
353,4585
354,4594
355,4595
356,4601
357,4609
358,4614
359,4616
360,4631
361,4634
362,4649
363,4673
364,4679
365,4680
366,4695
367,4725
368,4735
369,4737
370,4740
371,4746
372,4747
373,4748
374,4756
375,4763
376,4768
377,4771
378,4775
379,4810
380,4828
381,4829
382,4845
383,4870
384,4891
385,4893
386,4896
387,4906
388,4908
389,4909
390,4911
391,4913
392,4914
393,4915
394,4917
395,4927
396,4932
397,4934
398,4935
399,4943
400,4946
401,4976
402,4991
403,4992
404,4993
405,4999
406,5002
407,5029
408,5035
409,5070
410,5071
411,5073
412,5078
413,5090
414,5095
415,5152
416,5161
417,5184
418,5193
419,5206
420,5210
421,5212
422,5214
423,5215
424,5238
425,5245
426,5248
427,5253
428,5291
429,5311
430,5314
431,5318
432,5320
433,5329
434,5333
435,5358
436,5359
437,5379
438,5381
439,5391
440,5394
441,5401
442,5403
443,5411
444,5419
445,5426
446,5430
447,5452
448,5453
449,5468
450,5472
451,5479
452,5483
453,5487
454,5503
455,5505
456,5508
457,5524
458,5526
459,5530
460,5533
461,5546
462,5556
463,5564
464,5565
465,5566
466,5572
467,5576
468,5577
469,5578
470,5582
471,5584
472,5591
473,5593
474,5596
475,5625
476,5656
477,5665
478,5717
479,5719
480,5732
481,5734
482,5735
483,5743
484,5746
485,5754
486,5755
487,5756
488,5757
489,5768
490,5770
491,5771
492,5775
493,5780
494,5790
495,5815
496,5819
497,5825
498,5833
499,5834
500,5852
501,5865
502,5870
503,5877
504,5878
505,5904
506,5905
507,5909
508,5920
509,5939
510,5959
511,5961
512,5978
513,5983
514,5994
515,5995
516,6005
517,6006
518,6010
519,6013
520,6018
521,6032
522,6037
523,6041
524,6049
525,6058
526,6116
