Feature,Count
SC6A2_HUMAN,13
SC6A4_HUMAN,12
5HT2A_HUMAN,10
ADA1A_HUMAN,10
HRH1_HUMAN,10
5HT2C_HUMAN,9
ACM1_HUMAN,8
ADA1B_HUMAN,8
A1AG1_HUMAN,7
ADA1D_HUMAN,7
ADA2A_HUMAN,7
CP2B6_HUMAN,7
CP2D6_HUMAN,7
DRD2_HUMAN,7
SC6A3_HUMAN,7
5HT1A_HUMAN,6
ACM2_HUMAN,6
ACM3_HUMAN,6
ACM4_HUMAN,6
ACM5_HUMAN,6
CP1A2_HUMAN,6
CP2CJ_HUMAN,6
CP2E1_HUMAN,6
5HT7R_HUMAN,5
ADA2B_HUMAN,5
ADA2C_HUMAN,5
ADRB1_HUMAN,5
ADRB2_HUMAN,5
MDR1_HUMAN,5
5HT6R_HUMAN,4
ALBU_HUMAN,4
CP2C9_HUMAN,4
DRD1_HUMAN,4
DRD5_HUMAN,4
5HT2B_HUMAN,3
ADRB3_HUMAN,3
CP3A4_HUMAN,3
CP3A5_HUMAN,3
OPRK_HUMAN,3
5HT1D_HUMAN,2
5HT3A_HUMAN,2
CP2A6_HUMAN,2
CP2C8_HUMAN,2
CP2CI_HUMAN,2
DRD3_HUMAN,2
HRH4_HUMAN,2
KCND2_HUMAN,2
KCND3_HUMAN,2
S22A1_HUMAN,2
S22A2_HUMAN,2
S22A3_HUMAN,2
S22A4_HUMAN,2
SGMR1_HUMAN,2
5HT1B_HUMAN,1
5HT1F_HUMAN,1
ACHA3_HUMAN,1
ASM_HUMAN,1
CP3A7_HUMAN,1
GSTP1_HUMAN,1
HRH2_HUMAN,1
HRH3_HUMAN,1
KCNA1_HUMAN,1
KCNH2_HUMAN,1
KCNQ2_HUMAN,1
KCNQ3_HUMAN,1
NTRK1_HUMAN,1
NTRK2_HUMAN,1
OPRD_HUMAN,1
OPRM_HUMAN,1
PGH1_HUMAN,1
PGRC1_HUMAN,1
Q14097_HUMAN,1
S22A5_HUMAN,1
