Feature,Count
>=_4_H,15
>=_8_H,15
>=_16_H,15
>=_2_C,15
>=_4_C,15
>=_8_C,15
>=_1_N,15
>=_1_any_ring_size_6,15
>=_1_saturated_or_aromatic_carbon-only_ring_size_6,15
>=_1_aromatic_ring,15
C-H,15
C-C,15
C-N,15
C(~C)(~C),15
C(~C)(~C)(~C),15
C(~C)(~H),15
C(~C)(~H)(~N),15
C(~C)(~N),15
C(~C)(:C),15
C(~C)(:C)(:C),15
C(~H)(~N),15
C(~H)(:C),15
C(~H)(:C)(:C),15
C(~H)(~H)(~H),15
C(:C)(:C),15
N(~C)(~C),15
C=C,15
C(-C)(-C)(=C),15
C(-C)(-H)(=C),15
C(-C)(=C),15
C(-H)(=C),15
C:C-C=C,15
C-C-C=C,15
[.1,15
C=C-C:C,15
C-C=C-C,15
C-N-C-[,15
C:C-C:C,15
C=C-C-C,15
C=C-C=C,15
C:C-C-C,15
C-C:C-C:C,15
C-C-C-C-C,15
C:C-C=C-C,15
C:C-C-C-C,15
[.4,15
C-C:C:C-C,15
C-C-C-C:C,15
C-N-C-C-C,15
C:C-C-C:C,15
C-C-C:C-C,15
C=C-C-C-C,15
C-C=C-C-C,15
C-C=C-C=C,15
C-C:C-C-C,15
C-C=C-C:C,15
C-C-C=C-C,15
C-C-C-C-C-C,15
C-C-C-C-C-C-C,15
C-C-C-C-C-C-C-C,15
C-C(C)-C-C,15
C-C(C)-C-C-C,15
C-C-C(C)-C-C,15
>=_16_C,14
>=_2_any_ring_size_6,14
>=_2_aromatic_rings,14
>=_2_saturated_or_aromatic_carbon-only_ring_size_6,13
C-C-C-C-C-C(C)-C,13
N-C-C-C-C,12
N-C-C-C-C-C,12
>=_1_any_ring_size_7,10
N(~C)(~C)(~C),10
C-C(C)-C(C)-C,9
Cc1c(C)cccc1,9
CC1C(C)CCCC1,9
>=_2_N,8
C(~C)(~C)(~N),7
N-C-C-C:C,7
C-C-N-C-C,7
>=_1_saturated_or_aromatic_nitrogen-containing_ring_size_7,6
>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_7,6
N-H,6
C(~N)(:C),6
N(~C)(~C)(~H),6
N(~C)(~H),6
C(-N)(=C),6
N-C-C=C,6
C-N-C:C,6
N-C=C-[,6
[.2,6
N-C:C-C,6
N-C:C-[,6
N-C-C:C,6
C-C:C-N-C,6
N-C:C:C-C,6
C-N-C-C:C,6
N-C-C:C-C,6
[.5,6
C-N-C:C-C,6
N-C:C-C-C,6
C(~N)(:C)(:C),5
C(-C)(-N)(=C),5
C:C-N-C:C,5
Cc1c(N)cccc1,5
CC1C(N)CCCC1,5
>=_1_O,4
C-O,4
C(~C)(~C)(~O),4
C(~C)(~O),4
N-C-C-C-N,4
>=_1_F,3
>=_3_any_ring_size_6,3
C-F,3
C(~C)(~C)(~C)(~H),3
C(~C)(~C)(~H)(~N),3
C(~C)(~H)(~O),3
C(~H)(~O),3
O(~C)(~C),3
O-C-C:C,3
O-C-C=C,3
O-C-C:C-C,3
C-O-C-C=C,3
C-O-C-C:C,3
C-C-O-C-C,3
O-C-C=C-C,3
O-C-C-C-C,3
O-C-C-C=C,3
O-C-C-C:C,3
C=C-C-O-C,3
O-C-C-C-C-C,3
O-C-C-C-C-C-C,3
O-C-C-C-C-C-C-C,3
CC1CCC(C)CC1,3
CC1CC(C)CCC1,3
>=_1_Cl,2
>=_1_any_ring_size_5,2
>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_5,2
>=_1_saturated_or_aromatic_nitrogen-containing_ring_size_6,2
>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_6,2
>=_1_saturated_or_aromatic_carbon-only_ring_size_7,2
>=_1_any_ring_size_9,2
>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_9,2
C-Cl,2
C(~C)(~C)(~C)(~O),2
C(~C)(~Cl),2
C(~Cl)(:C),2
C(~F)(:C),2
C.1,2
C(.2,2
N,2
Cl-C:C-C,2
Cl-C:C-[,2
Cl-C-C-C,2
N.1,2
N-C-C-N,2
Cl-C-C-C-C,2
Cl-C:C:C-C,2
N-C-C-N-C,2
N.2,2
O-C-C-C-C-N,2
O-C-C-C-C-C(C)-C,2
Cc1ccc(C)cc1,2
Cc1cc(C)ccc1,2
>=_2_F,1
>=_2_saturated_or_aromatic_nitrogen-containing_ring_size_6,1
>=_2_saturated_or_aromatic_heteroatom-containing_ring_size_6,1
>=_3_saturated_or_aromatic_carbon-only_ring_size_6,1
>=_4_any_ring_size_6,1
>=_4_saturated_or_aromatic_carbon-only_ring_size_6,1
>=_5_any_ring_size_6,1
>=_5_saturated_or_aromatic_carbon-only_ring_size_6,1
>=_1_any_ring_size_10,1
>=_1_saturated_or_aromatic_carbon-only_ring_size_10,1
>=_1_hetero-aromatic_ring,1
C(~C)(~C)(~C)(~C),1
C(~C)(~C)(~C)(~N),1
C(~C)(~C)(~H)(~O),1
C(~C)(:N),1
C(~F)(~F),1
C(~H)(:C)(:N),1
C(~H)(:N),1
C(~N)(~N),1
C(~N)(:C)(:N),1
C(~N)(:N),1
C(~O)(:C),1
C(~O)(:C)(:C),1
C(:C)(:N),1
N(~C)(:C),1
N(:C)(:C),1
C=N,1
C=O,1
C(-C)(-C)(=O),1
C(-C)(-H)(=N),1
C(-C)(-N)(=N),1
C(-C)(=N),1
C(-C)(=O),1
C(-H)(-N)(=C),1
C(-H)(=N),1
C(-N)(=N),1
N(-C)(=C),1
C:N:C-C,1
C-O-C=C,1
C:N-C:C,1
N-C:N:C,1
N-C=N-C,1
C-N:C-[,1
O=C-C:C,1
O-C=C-C,1
C-C:N:C,1
N=C-N-C,1
C:N-C-[,1
N:C:C-C,1
N:C-C:C,1
O=C-C-C,1
O=C-C-N,1
N=C-C-C,1
N=C-C-[,1
O-C:C-C,1
O-C:C-[,1
O=C-C=C,1
N=C-C=C,1
N-C-N-C,1
C:C-O-C,1
N=C-C:C-[,1
O=C-C-C-C,1
C-C:C-O-C,1
N=C-N-C-C,1
O=C-C-C:C,1
O=C-C-N-C,1
O-C:C-C-C,1
C:C-O-C-C,1
O=C-C:C-C,1
C-O-C:C-C,1
C-C-O-C:C,1
C-N-C-N-C,1
O-C-C-C-N,1
O-C:C:C-C,1
N-C-N-C-C,1
O=C-C=C-C,1
O=C-C=C-[,1
N-C-N-C:C,1
O=C-C-C-C-C,1
O=C-C-C-C-C-C,1
O=C-C-C-C-C-C-C,1
C-C(C)(C)-C-C,1
Cc1ccc(O)cc1,1
Cc1ccc(Cl)cc1,1
Cc1cc(Cl)ccc1,1
Nc1cc(Cl)ccc1,1
CC1CCC(O)CC1,1
CC1CCC(Cl)CC1,1
CC1CC(Cl)CCC1,1
NC1CC(Cl)CCC1,1
