ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P19113,Histidine decarboxylase,HDC,32109,X54297,P19113,DCHS_HUMAN,4E1O,,HDC,HGNC:4855,Human,DB00114; DB00117
Q9UI32,"Glutaminase liver isoform, mitochondrial",GLS2,6650606,AF110330,Q9UI32,GLSL_HUMAN,4BQM,,GLS2,HGNC:29570,Human,DB00142
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,,F13A1,HGNC:3531,Human,DB01839; DB02340
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,,NOS2A,HGNC:7873,Human,DB00125; DB00155; DB01110; DB01234; DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02462; DB02533; DB02539; DB02644; DB02692; DB03100; DB03144; DB03449; DB03953; DB04400; DB04534; DB05214; DB05252; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750; DB08814
P37059,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462,L11708,P37059,DHB2_HUMAN,,,HSD17B2,HGNC:5211,Human,DB00157
P06737,"Glycogen phosphorylase, liver form",PYGL,183353,M14636,P06737,PYGL_HUMAN,1EM6; 1EXV; 1FA9; 1FC0; 1L5Q; 1L5R; 1L5S; 1L7X; 1XOI; 2ATI; 2QLL; 2ZB2; 3CEH; 3CEJ; 3CEM; 3DD1; 3DDS; 3DDW,,PYGL,HGNC:9725,Human,DB00114; DB00131; DB02089; DB02320; DB02379; DB03288; DB03744; DB04522; DB05044; DB07315; DB07395; DB07396; DB07968; DB08844
Q13423,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,,NNT,HGNC:7863,Human,DB00157; DB01763; DB03461
P11766,Alcohol dehydrogenase class-3,ADH5,178134,M30471,P11766,ADHX_HUMAN,1M6H; 1M6W; 1MA0; 1MC5; 1MP0; 1TEH; 2FZE; 2FZW; 3QJ5,,ADH5,HGNC:253,Human,DB00157; DB03704; DB04153
P48728,"Aminomethyltransferase, mitochondrial",AMT,391721,D13811,P48728,GCST_HUMAN,1WSR; 1WSV,,AMT,HGNC:473,Human,DB00116; DB00157; DB04789
P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,,,IDH3A,HGNC:5384,Human,DB00157
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,,,CACNA1I,HGNC:1396,Human,DB00568; DB00617; DB00661; DB00909; DB01388; DB04841
P30542,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,,,ADORA1,HGNC:262,Human,DB00201; DB00277; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB01412; DB04932; DB04954; DB05360
